Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price
2019 Mercedes-Benz C-Class C 300,"26,657 mi.",4.3,(327 reviews),Used,$454 price drop,"$42,000"
2020 Mercedes-Benz CLA 250 Base,"16,761 mi.",3.7,(131 reviews),Mercedes-Benz Certified,"$1,500 price drop","$38,995"
2016 Toyota Camry SE,Mileage,4.8,"(4,829 reviews)",Used,$567 price drop,"$18,998"
2021 BMW X3 M AWD,"49,653 mi.",4.8,"(1,614 reviews)",Used,"$1,000 price drop","$73,980"
2021 Mercedes-Benz AMG GLE 53 Base,"18,108 mi.",4.7,(155 reviews),Used,"$3,000 price drop","$88,998"
2020 Honda Accord Sport 1.5T,"6,356 mi.",4.0,(0 reviews),Used,$400 price drop,"$29,469"
2019 INFINITI QX60 Luxe,"41,218 mi.",4.7,(445 reviews),Used,"$2,371 price drop","$30,446"
2012 Ford Expedition EL King Ranch,"48,770 mi.",4.3,(0 reviews),Used,$497 price drop,"$15,999"
2017 Cadillac XT5 Luxury,"148,738 mi.",4.5,"(1,221 reviews)",Used,"$2,990 price drop","$24,497"
2020 Acura TLX V6 w/Technology Package,"85,658 mi.",4.4,(273 reviews),Used,"$1,558 price drop","$33,634"
2020 Jeep Grand Cherokee Limited,"34,181 mi.",4.9,"(2,421 reviews)",Used,$770 price drop,"$46,529"
2020 RAM 1500 Limited,"15,277 mi.",4.4,(716 reviews),RAM Certified,$879 price drop,"$53,791"
2021 Porsche Macan Base,"23,151 mi.",4.8,(547 reviews),Used,"$2,084 price drop","$59,995"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"16,357 mi.",4.8,"(1,087 reviews)",Used,"$1,000 price drop","$34,885"
2020 Lincoln Aviator Reserve AWD,"18,337 mi.",2.9,(158 reviews),Used,$995 price drop,"$59,962"
2019 Chevrolet Traverse LS,"12,707 mi.",4.8,(121 reviews),Used,"$1,353 price drop","$29,881"
2019 BMW M550 i Xdrive,"45,498 mi.",4.8,(42 reviews),Used,"$2,000 price drop","$43,948"
2021 Porsche Macan GTS,"38,336 mi.",3.7,(479 reviews),Used,$400 price drop,"$86,996"
2020 Tesla Model Y Long Range,"7,215 mi.",4.4,"(1,783 reviews)",Used,"$1,500 price drop","$66,900"
2020 Lexus IS 350 Base,"25,801 mi.",4.5,(54 reviews),Used,$450 price drop,"$27,999"
2016 Acura ILX 2.4L,"20,577 mi.",4.8,(921 reviews),Used,"$1,154 price drop","$17,000"
2017 Ford Escape Titanium,"67,492 mi.",3.2,(739 reviews),Used,$267 price drop,"$22,977"
2017 Lexus GX 460 Base,"57,282 mi.",4.7,(720 reviews),Used,"$2,243 price drop","$37,672"
2019 Mazda CX-5 Touring,"81,060 mi.",4.1,(11 reviews),Used,$904 price drop,"$29,998"
2019 Mercedes-Benz C-Class C 300 4MATIC,"19,382 mi.",4.5,"(1,685 reviews)",Used,$360 price drop,"$35,992"
2017 Ford Explorer XLT,"13,738 mi.",4.6,(8 reviews),Used,"$1,000 price drop","$26,998"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"41,961 mi.",4.3,(660 reviews),Used,"$3,051 price drop","$51,477"
2018 Mercedes-Benz AMG E 63 S 4MATIC,"14,210 mi.",4.0,"(1,038 reviews)",Mercedes-Benz Certified,"$1,930 price drop","$84,995"
2020 Lexus RX 450hL Base,"12,195 mi.",4.9,(97 reviews),Used,$900 price drop,"$56,500"
2020 Jeep Grand Cherokee Limited,"11,559 mi.",2.9,(183 reviews),Used,"$1,844 price drop","$43,645"
2016 Chevrolet Corvette Stingray Z51,"44,502 mi.",4.8,(511 reviews),Used,"$1,044 price drop","$58,500"
2017 Mercedes-Benz E-Class E 300 4MATIC,"14,163 mi.",4.7,(42 reviews),Used,$405 price drop,"$31,862"
2019 Lexus RX 350 350,"13,990 mi.",4.3,"(1,558 reviews)",Used,"$1,000 price drop","$44,994"
2022 Toyota Highlander Platinum,"11,711 mi.",4.4,(71 reviews),Toyota Certified,$300 price drop,"$51,988"
2016 Toyota Sienna Limited Premium,"27,070 mi.",4.6,(160 reviews),Used,$600 price drop,"$38,000"
2019 Land Rover Range Rover Velar P250 S,"20,054 mi.",4.6,(310 reviews),Used,$659 price drop,"$49,620"
2020 Jaguar E-PACE SE,"16,133 mi.",4.5,(241 reviews),Used,"$1,500 price drop","$47,994"
2020 Subaru Forester Premium,"21,699 mi.",4.3,(555 reviews),Subaru Certified,"$2,565 price drop","$32,252"
2018 Jeep Wrangler Unlimited Sport,"43,098 mi.",4.4,"(1,070 reviews)",Used,$405 price drop,Not Priced
2021 Acura ILX Premium Package,"58,324 mi.",4.9,"(1,383 reviews)",Used,$720 price drop,"$31,000"
2020 Jaguar E-PACE SE,"13,054 mi.",3.2,"(1,760 reviews)",Used,"$1,700 price drop","$46,494"
2018 Ford Escape SE,Mileage,4.7,(373 reviews),Ford Certified,$979 price drop,"$25,000"
2012 Lexus ES 350 Base,"24,991 mi.",4.6,(239 reviews),Used,$400 price drop,"$18,992"
2021 Toyota Tundra SR5,"86,690 mi.",4.7,(61 reviews),Used,$375 price drop,"$46,326"
2020 Jeep Grand Cherokee Overland,"16,258 mi.",4.2,"(9,077 reviews)",Used,$500 price drop,"$39,590"
2019 Honda CR-V EX-L,"38,679 mi.",4.5,(86 reviews),Used,"$2,000 price drop","$33,125"
2016 BMW X5 xDrive50i,"22,942 mi.",3.7,(61 reviews),Used,$500 price drop,"$26,600"
2021 Acura RDX A-Spec,"96,200 mi.",2.7,(20 reviews),Acura Certified,$500 price drop,"$44,684"
2016 Toyota Prius Two,"15,490 mi.",4.8,(450 reviews),Used,$122 price drop,"$21,999"
2019 Honda CR-V EX-L,"82,012 mi.",4.7,"(1,913 reviews)",Used,"$1,000 price drop","$31,499"
2020 Toyota Camry SE,"21,868 mi.",4.6,(573 reviews),Used,"$1,994 price drop","$28,998"
2018 Jeep Grand Cherokee Limited,"17,262 mi.",4.7,(406 reviews),Used,"$1,000 price drop","$35,368"
2016 Mercedes-Benz C-Class C 300,"19,330 mi.",4.5,(571 reviews),Used,$200 price drop,"$25,745"
2020 Volvo V60 T5 Momentum,"54,442 mi.",4.5,(363 reviews),Used,"$1,001 price drop","$31,988"
2020 RAM 1500 Big Horn,"32,305 mi.",4.2,(380 reviews),Used,$500 price drop,"$46,998"
2021 Mazda CX-5 Grand Touring,"22,118 mi.",4.5,(169 reviews),Used,"$1,334 price drop","$29,034"
2012 Mercedes-Benz S-Class S 550 4MATIC,"45,935 mi.",4.6,(163 reviews),Used,$500 price drop,"$25,695"
2021 GMC Yukon Denali,"59,725 mi.",3.8,(126 reviews),Used,$111 price drop,"$75,900"
2003 Chevrolet Express 3500 ,"46,488 mi.",4.8,"(1,686 reviews)",Used,$242 price drop,"$18,993"
2017 INFINITI Q70L 3.7,"19,305 mi.",4.9,(189 reviews),Used,$708 price drop,"$34,606"
2021 Toyota RAV4 XLE,"30,152 mi.",4.2,(762 reviews),Toyota Certified,"$1,076 price drop","$34,845"
2021 Honda Passport EX-L,"4,563 mi.",1.6,(28 reviews),Used,$993 price drop,"$38,666"
2019 BMW X5 xDrive40i,"17,862 mi.",4.6,(143 reviews),Used,"$2,000 price drop","$42,777"
2020 Tesla Model Y Long Range,"68,762 mi.",2.2,(12 reviews),Used,"$1,500 price drop","$67,997"
2018 BMW 530e xDrive iPerformance,"16,500 mi.",3.4,(24 reviews),Used,"$2,356 price drop","$35,998"
2019 Honda CR-V EX-L,"56,158 mi.",4.8,"(1,862 reviews)",Used,"$1,695 price drop","$25,999"
2017 Lexus RX 350 350,"24,000 mi.",4.8,"(4,891 reviews)",Used,"$7,035 price drop","$36,799"
2021 Mercedes-Benz S-Class S 580 4MATIC,"68,291 mi.",4.8,"(2,800 reviews)",Mercedes-Benz Certified,"$1,343 price drop","$126,883"
2019 Honda CR-V EX-L,"5,559 mi.",3.9,(67 reviews),Used,$648 price drop,"$32,997"
2017 Subaru Forester 2.5i,"12,996 mi.",4.8,"(4,636 reviews)",Used,"$1,009 price drop","$14,991"
2021 Mercedes-Benz C-Class C 300 4MATIC,"76,782 mi.",3.6,(21 reviews),Mercedes-Benz Certified,$596 price drop,"$43,625"
2017 Honda Accord LX,"9,787 mi.",4.8,(86 reviews),Used,"$1,037 price drop","$21,998"
2019 BMW X5 xDrive40i,"77,551 mi.",4.9,"(4,050 reviews)",Used,$112 price drop,"$58,242"
2019 Ford F-150 Lariat,"11,227 mi.",3.9,(39 reviews),Ford Certified,"$1,000 price drop","$51,999"
2020 Hyundai Palisade Limited,"18,621 mi.",3.7,(144 reviews),Used,$600 price drop,"$51,498"
2019 Tesla Model 3 Long Range,"10,046 mi.",4.3,"(1,341 reviews)",Used,"$1,555 price drop","$47,495"
2020 Alfa Romeo Giulia Ti,"32,109 mi.",4.0,(8 reviews),Used,$250 price drop,"$38,480"
2021 Acura RDX A-Spec,"17,159 mi.",4.7,"(1,462 reviews)",Used,$700 price drop,"$45,500"
2021 Tesla Model Y Long Range,"15,341 mi.",4.0,(964 reviews),Used,$500 price drop,"$70,995"
2019 Kia Forte LXS,"11,646 mi.",4.8,(777 reviews),Used,$200 price drop,"$15,691"
2020 Acura MDX 3.5L w/Technology Package,"47,624 mi.",4.6,(128 reviews),Used,"$1,937 price drop","$42,888"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mileage,4.9,"(1,520 reviews)",Used,"$2,338 price drop","$46,229"
2019 Mercedes-Benz C-Class C 300,"73,815 mi.",4.0,(59 reviews),Mercedes-Benz Certified,"$2,157 price drop","$31,431"
2020 Acura RDX A-Spec,"19,806 mi.",4.5,(711 reviews),Used,$400 price drop,"$40,771"
2021 Toyota Highlander Platinum,"30,672 mi.",4.6,(316 reviews),Used,"$1,344 price drop","$53,598"
2015 BMW X5 xDrive50i,"11,937 mi.",4.5,"(1,235 reviews)",Used,$112 price drop,"$27,693"
2021 BMW 228 Gran Coupe 228i sDrive Gran Coupe,"88,710 mi.",4.7,"(4,336 reviews)",Used,"$1,000 price drop","$42,295"
2021 Tesla Model Y Long Range,"12,217 mi.",4.7,(105 reviews),Used,$500 price drop,"$71,988"
2019 Alfa Romeo Stelvio Ti,"15,407 mi.",4.1,(8 reviews),Used,$199 price drop,"$37,888"
2020 RAM 1500 Laramie,"19,246 mi.",4.5,(428 reviews),Used,"$1,300 price drop","$56,998"
2019 Mercedes-Benz GLA 250 4MATIC,"19,487 mi.",4.5,"(2,610 reviews)",Used,"$1,000 price drop","$33,845"
2021 Toyota 4Runner Limited,"18,616 mi.",4.2,"(1,074 reviews)",Used,"$1,425 price drop","$47,000"
2021 RAM 1500 Laramie,"37,001 mi.",3.6,(208 reviews),Used,"$2,001 price drop","$55,421"
2004 Nissan Pathfinder LE Platinum,"18,046 mi.",4.7,"(1,207 reviews)",Used,$507 price drop,"$3,988"
2021 Hyundai Palisade Limited,"202,374 mi.",4.6,(284 reviews),Used,$301 price drop,"$44,422"
2017 Volvo XC60 T6 Dynamic,"18,521 mi.",4.3,(180 reviews),Used,"$1,990 price drop","$26,799"
2019 BMW 330 i xDrive,"52,021 mi.",3.7,(3 reviews),Used,"$2,665 price drop","$36,999"
2017 Audi Q7 3.0T Premium Plus,"31,096 mi.",4.7,(848 reviews),Used,$905 price drop,"$36,998"
2021 BMW X1 sDrive28i,"58,731 mi.",4.4,(11 reviews),Used,$400 price drop,"$38,488"
2021 Tesla Model Y Long Range,"15,892 mi.",4.7,(768 reviews),Used,$500 price drop,"$71,400"
2020 Ford Edge Sport,"12,045 mi.",4.8,(144 reviews),Ford Certified,$975 price drop,"$41,500"
2021 Lexus GX 460 Base,"25,055 mi.",4.8,"(5,265 reviews)",Used,$480 price drop,"$54,795"
2020 Mercedes-Benz S-Class S 560,"19,515 mi.",4.0,(36 reviews),Mercedes-Benz Certified,"$1,431 price drop","$84,893"
2021 Jeep Wrangler Unlimited Sahara,"11,195 mi.",4.6,"(1,385 reviews)",Jeep Certified,"$2,400 price drop","$61,500"
2018 Jeep Grand Cherokee Limited,"17,491 mi.",3.6,(21 reviews),Used,$100 price drop,"$35,507"
2019 Tesla Model 3 Standard Range Plus,"31,958 mi.",4.3,"(1,341 reviews)",Used,$442 price drop,"$51,998"
2019 BMW 740 i,"22,194 mi.",4.6,(666 reviews),Used,"$1,000 price drop","$50,990"
2020 Lexus RX 350 Base,"20,243 mi.",4.9,"(2,791 reviews)",Used,"$1,038 price drop","$50,020"
2020 Cadillac XT5 Sport,"17,610 mi.",4.8,"(1,614 reviews)",Cadillac Certified,$643 price drop,"$49,492"
2019 BMW 430 Gran Coupe i xDrive,"16,975 mi.",4.6,(223 reviews),Used,$500 price drop,"$35,980"
2019 Mazda CX-5 Grand Touring,"33,410 mi.",4.5,(15 reviews),Used,"$1,999 price drop","$29,998"
2017 GMC Acadia Limited Limited,"18,410 mi.",4.9,"(6,653 reviews)",Used,$400 price drop,"$24,997"
2019 Honda HR-V EX,"38,708 mi.",4.8,"(1,019 reviews)",Used,"$1,000 price drop","$23,850"
2021 RAM 1500 Longhorn,"13,289 mi.",5.0,(2 reviews),Used,"$1,585 price drop","$63,000"
2019 Dodge Charger R/T,"6,977 mi.",4.4,"(1,157 reviews)",Used,$995 price drop,"$27,400"
2019 Mercedes-Benz C-Class C 300,"76,682 mi.",4.8,"(1,047 reviews)",Used,"$1,000 price drop","$34,333"
2021 Hyundai Venue SE,"15,505 mi.",4.4,(165 reviews),Used,"$3,552 price drop","$18,000"
2019 Honda Passport Touring,"29,317 mi.",4.4,"(1,760 reviews)",Honda Certified,$400 price drop,"$40,000"
2021 Mercedes-Benz GLA 250 Base,"21,867 mi.",4.7,"(1,210 reviews)",Used,$278 price drop,"$40,496"
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,"14,741 mi.",4.7,"(1,064 reviews)",Used,$600 price drop,"$46,588"
2019 BMW 330 i,"21,460 mi.",4.1,(134 reviews),BMW Certified,$300 price drop,"$39,988"
2018 BMW 330 i xDrive,"31,958 mi.",4.4,(515 reviews),Used,"$1,474 price drop","$29,000"
2018 Cadillac XT5 Luxury,"37,361 mi.",4.5,(114 reviews),Used,$642 price drop,"$31,037"
2019 Land Rover Range Rover Velar P250 S,"24,848 mi.",4.8,"(4,891 reviews)",Used,"$2,184 price drop","$47,520"
2021 Porsche Macan S,"41,355 mi.",4.4,(52 reviews),Porsche Certified,"$1,500 price drop","$73,498"
2021 GMC Yukon Denali,"13,320 mi.",4.5,"(1,070 reviews)",Used,"$1,000 price drop","$84,994"
2020 Mercedes-Benz CLA 250 Base 4MATIC,"12,623 mi.",4.8,(409 reviews),Used,$200 price drop,"$38,500"
2017 Dodge Challenger R/T,"13,829 mi.",4.2,(5 reviews),Used,$739 price drop,"$35,899"
2018 BMW X1 xDrive28i,"42,056 mi.",4.5,"(1,439 reviews)",Used,"$1,800 price drop","$21,991"
2019 BMW 330 i xDrive,Mileage,4.3,"(1,341 reviews)",Used,"$1,500 price drop","$35,880"
2019 Alfa Romeo Stelvio Ti,"31,620 mi.",4.9,"(4,427 reviews)",Used,$699 price drop,"$38,490"
2021 GMC Yukon Denali,"12,387 mi.",4.4,(694 reviews),Used,$500 price drop,"$78,395"
2014 Volvo S60 T5,"45,141 mi.",4.2,"(9,083 reviews)",Used,"$1,700 price drop","$17,590"
2021 Mazda CX-5 Grand Touring,"60,439 mi.",4.8,"(1,491 reviews)",Used,$398 price drop,"$32,289"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"13,621 mi.",4.7,(926 reviews),Mercedes-Benz Certified,$100 price drop,"$37,496"
2020 Porsche Macan S,"14,880 mi.",5.0,(3 reviews),Used,$500 price drop,"$67,180"
2015 Audi S4 3.0T Premium Plus,"15,834 mi.",3.2,(38 reviews),Used,"$2,509 price drop","$25,999"
2003 Toyota Highlander V6 (A4),"62,600 mi.",4.8,(77 reviews),Used,$400 price drop,"$7,000"
2018 Toyota 4Runner Limited,"145,276 mi.",2.0,(13 reviews),Used,"$1,408 price drop","$39,599"
2020 Acura TLX V6 w/Technology Package,"58,843 mi.",4.7,"(1,210 reviews)",Used,$800 price drop,"$35,888"
2019 Lexus IS 300 IS 300 F SPORT,"24,989 mi.",5.0,(3 reviews),Used,"$1,125 price drop","$38,998"
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,150 mi.",4.5,"(1,227 reviews)",Used,"$2,185 price drop","$36,000"
2020 Ford F-150 Lariat,"16,748 mi.",4.8,(615 reviews),Used,$450 price drop,"$53,997"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"20,518 mi.",4.7,"(3,487 reviews)",Used,"$2,120 price drop","$64,991"
2019 Jeep Grand Cherokee Limited,"15,430 mi.",4.5,(513 reviews),Used,"$1,403 price drop","$39,591"
2019 Jeep Grand Cherokee Limited,"37,637 mi.",4.2,(342 reviews),Used,"$12,718 price drop","$31,996"
2012 Ford Focus SEL,"15,823 mi.",4.2,(63 reviews),Used,"$1,500 price drop","$5,499"
2021 Toyota Avalon TRD,"135,809 mi.",4.7,(787 reviews),Used,$500 price drop,"$43,800"
2019 Ford F-450 Platinum,"19,999 mi.",4.8,"(1,240 reviews)",Used,"$1,000 price drop","$95,977"
2020 Acura MDX 3.5L,"19,526 mi.",5.0,(5 reviews),Used,$158 price drop,"$37,994"
2017 Mercedes-Benz C-Class C 300,"20,803 mi.",4.8,"(1,174 reviews)",Used,$198 price drop,"$30,999"
2017 Dodge Durango R/T,"14,021 mi.",4.6,(663 reviews),Used,"$3,828 price drop","$37,995"
2018 Porsche Panamera Turbo,"43,915 mi.",4.7,"(1,124 reviews)",Used,$500 price drop,"$109,995"
2018 Jeep Grand Cherokee Limited,"24,322 mi.",4.6,(128 reviews),Used,"$2,000 price drop","$34,541"
2019 BMW 330 i xDrive,"48,541 mi.",4.5,(754 reviews),BMW Certified,"$1,000 price drop","$35,995"
2020 Acura MDX 3.5L w/Technology Package,"33,522 mi.",4.7,(742 reviews),Used,$864 price drop,"$44,995"
2021 Mercedes-Benz GLE 350 Base 4MATIC,"16,720 mi.",4.7,"(1,680 reviews)",Used,"$1,529 price drop","$63,878"
2017 Audi Q7 3.0T Premium Plus,"13,564 mi.",4.8,"(4,891 reviews)",Used,$287 price drop,"$33,895"
2019 Volvo XC60 T5 Momentum,"63,598 mi.",3.4,(484 reviews),Used,$400 price drop,"$43,962"
2021 BMW M340 i xDrive,"15,638 mi.",4.7,"(1,680 reviews)",Used,"$1,875 price drop","$56,990"
2020 Tesla Model Y Long Range,"16,317 mi.",4.4,(13 reviews),Used,$245 price drop,"$65,995"
2019 Volvo XC60 T5 Momentum,"9,561 mi.",4.5,(965 reviews),Used,$300 price drop,"$42,962"
2015 Land Rover Range Rover 3.0L Supercharged HSE,"33,921 mi.",2.8,(259 reviews),Used,"$1,500 price drop","$45,995"
2017 Audi Q7 3.0T Premium Plus,"55,108 mi.",3.7,(3 reviews),Used,$900 price drop,"$41,595"
2020 Tesla Model Y Long Range,"21,907 mi.",4.4,"(1,384 reviews)",Used,$400 price drop,"$65,781"
2019 BMW M5 Competition,"15,614 mi.",4.7,(996 reviews),Used,"$2,001 price drop","$64,950"
2020 Nissan Rogue SL,"74,883 mi.",4.7,(46 reviews),Nissan Certified,$959 price drop,"$32,988"
2019 Honda CR-V EX-L,"18,335 mi.",4.5,(348 reviews),Used,$540 price drop,"$28,499"
2018 Cadillac XT5 Luxury,"47,033 mi.",4.9,(939 reviews),Cadillac Certified,$590 price drop,"$34,293"
2019 BMW X5 xDrive40i,"47,758 mi.",4.5,(665 reviews),Used,$999 price drop,"$54,995"
2019 Acura RDX Technology Package,"22,037 mi.",2.3,(15 reviews),Used,$500 price drop,"$37,959"
